0.000000	11.801443	00 intro
11.801443	796.531095	01 01
796.531095	1296.832713	01 02
1296.832713	2096.015817	01 03
2096.015817	3268.204076	01 04
3268.204076	3842.098962	01 05
3842.098962	5575.187260	01 06
5575.187260	6287.251847	01 07
6287.251847	6632.941304	01 08
6632.941304	7168.116848	01 09
7168.116848	7472.567555	01 10
7472.567555	8035.456600	01 11
8035.456600	8608.688483	01 12
8608.688483	9268.110680	01 13
9268.110680	9537.289658	01 14
9537.289658	10412.585438	01 15
10412.585438	10857.725256	01 16
10857.725256	11661.284176	01 17
11661.284176	12776.056427	01 18
12776.056427	13469.291746	01 19
13469.291746	14164.913874	01 20
14164.913874	14816.512642	01 21
14816.512642	16206.165692	01 22
16206.165692	16941.037562	01 23
16941.037562	17553.916990	01 24
17553.916990	18837.357053	01 25
18837.357053	19478.347783	02 01
19478.347783	20521.250573	02 02
20521.250573	21423.464251	02 03
21423.464251	22548.977141	02 04
22548.977141	22975.155090	02 05
22975.155090	23362.083296	02 06
23362.083296	24086.214527	02 07
24086.214527	25421.899181	02 08
25421.899181	26159.025260	02 09
26159.025260	26982.606853	02 10
26982.606853	27348.451582	02 11
27348.451582	28119.258183	02 12
28119.258183	28984.343727	02 13
28984.343727	29442.610992	02 14
29442.610992	30236.755278	02 15
30236.755278	30597.561189	02 16
30597.561189	31326.068236	02 17
31326.068236	32053.116678	02 18
32053.116678	32846.863163	02 19
32846.863163	33698.025656	02 20
33698.025656	34847.539233	02 21
34847.539233	36233.479470	03 01
36233.479470	37622.867318	03 02
37622.867318	38836.161727	03 03
38836.161727	40038.582897	03 04
40038.582897	40846.517633	03 05
40846.517633	41679.116059	03 06
41679.116059	42937.494631	03 07
42937.494631	43664.808274	03 08
43664.808274	44585.983822	03 09
44585.983822	45321.783896	03 10
45321.783896	45934.530722	03 11
45934.530722	46889.386792	03 12
46889.386792	47686.713490	03 13
47686.713490	48442.801437	03 14
48442.801437	49299.267950	03 15
49299.267950	49811.371010	03 16
49811.371010	50506.860538	03 17
50506.860538	51486.380297	03 18
51486.380297	52103.900741	03 19
52103.900741	53249.303704	04 01
53249.303704	54171.672655	04 02
54171.672655	54969.927556	04 03
54969.927556	55747.364181	04 04
55747.364181	56140.789811	04 05
56140.789811	56824.080094	04 06
56824.080094	57331.939940	04 07
57331.939940	57942.299958	04 08
57942.299958	58293.160833	04 09
58293.160833	58810.037511	04 10
58810.037511	59183.838269	04 11
59183.838269	59660.669602	04 12
59660.669602	60110.450437	04 13
60110.450437	60514.749306	04 14
60514.749306	61024.598158	04 15
61024.598158	61502.622896	04 16
61502.622896	61976.271817	05 01
61976.271817	62932.719092	05 02
62932.719092	64035.955101	05 03
64035.955101	64604.015566	05 04
64604.015566	64908.731473	05 05
64908.731473	65583.800526	05 06
65583.800526	65837.465248	05 07
65837.465248	66477.925575	05 08
66477.925575	67249.129978	05 09
67249.129978	67950.851728	05 10
67950.851728	69106.995329	05 11
69106.995329	69644.292482	05 12
69644.292482	70168.462187	05 13
70168.462187	70459.785445	05 14
70459.785445	71077.040688	05 15
71077.040688	71789.370477	05 16
71789.370477	72302.136540	05 17
72302.136540	72677.263303	05 18
72677.263303	73236.041734	05 19
73236.041734	73775.062693	05 20
73775.062693	74472.276026	05 21
74472.276026	74924.311069	06 01
74924.311069	75337.361570	06 02
75337.361570	75681.327220	06 03
75681.327220	76126.069236	06 04
76126.069236	76913.450897	06 05
76913.450897	77382.724002	06 06
77382.724002	78037.770383	06 07
78037.770383	78492.722636	06 08
78492.722636	78875.142426	06 09
78875.142426	79600.997464	06 10
79600.997464	80161.764901	06 11
80161.764901	80534.770057	06 12
80534.770057	81131.074424	06 13
81131.074424	81656.039731	06 14
81656.039731	82082.482881	06 15
82082.482881	82646.034929	06 16
82646.034929	82981.248947	06 17
82981.248947	83688.672518	06 18
83688.672518	83973.630953	06 19
83973.630953	84438.793444	06 20
84438.793444	84875.446830	06 21
84875.446830	85405.716157	06 22
85405.716157	86289.498369	06 23
86289.498369	86722.571543	06 24
86722.571543	87265.703116	06 25
87265.703116	87759.772512	06 26
87759.772512	88415.879696	07 01
88415.879696	88684.130471	07 02
88684.130471	89115.347238	07 03
89115.347238	89965.979329	07 04
89965.979329	90626.329729	07 05
90626.329729	91610.755706	07 06
91610.755706	92912.494636	07 07
92912.494636	93363.336275	07 08
93363.336275	93935.109552	07 09
93935.109552	95125.861880	07 10
95125.861880	95682.916504	07 11
95682.916504	96150.731004	07 12
96150.731004	96575.317747	07 13
96575.317747	97359.782197	08 01
97359.782197	97910.339398	08 02
97910.339398	98690.693234	08 03
98690.693234	99053.488152	08 04
99053.488152	99734.524227	08 05
99734.524227	100173.431822	08 06
100173.431822	100722.265216	08 07
100722.265216	101307.696344	08 08
101307.696344	102095.741008	08 09
102095.741008	102596.440427	08 10
102596.440427	102963.080759	08 11
102963.080759	103463.912779	08 12
103463.912779	103941.539715	08 13
103941.539715	104362.546245	08 14
104362.546245	105137.993863	08 15
105137.993863	105884.534576	08 16
105884.534576	106230.356632	08 17
106230.356632	106699.894939	08 18
106699.894939	107247.534929	08 19
107247.534929	107689.227134	08 20
107689.227134	108258.481002	08 21
108258.481002	108703.620820	08 22
108703.620820	109437.564487	09 01
109437.564487	110002.575140	09 02
110002.575140	110561.353571	09 03
110561.353571	111152.619120	09 04
111152.619120	111499.899781	09 05
111499.899781	112557.123423	09 06
112557.123423	113067.767879	09 07
113067.767879	114002.999078	09 08
114002.999078	115153.706059	09 09
115153.706059	115687.688200	09 10
115687.688200	116463.798820	09 11
